Match No.,Innings,Team,Player Name,BallCount,Position,Short Description,Pick,Throw,Runs,Overcount,Venue,Stadium
IPL2367,1,Delhi Capitals,Phil Salt,0.3,Wicket keeper,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,0,1,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Yash Dhull,0.4,Covers,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,1,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Ishant Sharma,0.6,Fine leg,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,0,1,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Axar Patel,1.1,Point,Quick stumping opportunity,S,,0,2,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Yash Dhull,1.3,Covers,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,2,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,1.4,Short mid wicket,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,2,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Phil Salt,1.6,Wicket keeper,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,2,2,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Axar Patel,2.1,Point,Dropped a catchable chance,DC,,-3,3,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,2.3,Short mid wicket,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,2,3,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,2.4,Short mid wicket,"Clean fielding effort, ball collected cleanly; missed run-out chance",Y,MR,-1,3,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Yash Dhull,2.5,Covers,"Clean fielding effort, ball collected cleanly; run out completed",Y,RO,2,3,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,3.1,Short mid wicket,"Clean fielding effort, ball collected cleanly; direct hit on the stumps",Y,DH,2,4,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Ishant Sharma,3.4,Fine leg,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,4,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,3.5,Short mid wicket,"Clean fielding effort, ball collected cleanly; wayward throw allowed extra run(s)",Y,N,-2,4,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,4.1,Short mid wicket,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,5,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Lalit Yadav,4.2,Cover point,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,5,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Anrich Nortje,4.3,Third man,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,2,5,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Mustafizur Rahman,4.4,Mid on,Excellent low/diving catch taken,C,,4,5,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Axar Patel,4.6,Point,Excellent low/diving catch taken,C,,2,5,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Aman Khan,5.5,Long off,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,2,6,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,5.6,Short mid wicket,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,0,6,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Mustafizur Rahman,6.1,Mid on,Dropped a catchable chance,DC,,-4,7,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Axar Patel,6.2,Point,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,7,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,8.1,Short mid wicket,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,9,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Axar Patel,8.2,Point,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,2,9,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Axar Patel,8.3,Point,"Clean fielding effort, ball collected cleanly; wayward throw allowed extra run(s)",Y,N,-2,9,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,8.4,Short mid wicket,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,9,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Rilee Rossouw,8.6,Short mid wicket,"Clean fielding effort, ball collected cleanly; missed run-out chance",Y,MR,-1,9,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Yash Dhull,9.1,Covers,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,10,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Ishant Sharma,9.2,Fine leg,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,10,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Ishant Sharma,9.3,Fine leg,Fumbled the pick-up under pressure; strong accurate return throw,N,Y,-3,10,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Kuldeep Yadav,9.4,Short mid wicket,Quick stumping opportunity,S,,0,10,Delhi,Arun Jaitley Stadium
IPL2367,1,Delhi Capitals,Axar Patel,9.5,Point,"Clean fielding effort, ball collected cleanly; strong accurate return throw",Y,Y,1,10,Delhi,Arun Jaitley Stadium
